MSYMPTOMID,TOCALLDATE,Repair_time,Average_repairtime_year,Average_repairtime_all,worksheets_closed,Average_worksheets_year
Internet,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Internet,Year_2560,9,4,2,V2,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,5,4,2,V1,208
Hardware,Year_2560,5,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,4,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Telephony,Year_2560,3,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,3,4,2,V1,208
Telephony,Year_2560,3,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,2,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,7,4,2,V1,208
Software,Year_2560,3,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Others,Year_2560,1,4,2,V1,208
Others,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,7,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Telephony,Year_2560,13,4,2,V2,208
Others,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Internet,Year_2560,14,4,2,V2,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Others,Year_2560,3,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,3,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Telephony,Year_2560,3,4,2,V1,208
Hardware,Year_2560,3,4,2,V1,208
Software,Year_2560,4,4,2,V1,208
Others,Year_2560,2,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Others,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,3,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Telephony,Year_2560,2,4,2,V1,208
Hardware,Year_2560,8,4,2,V2,208
Hardware,Year_2560,0,4,2,V1,208
Others,Year_2560,4,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Internet,Year_2560,12,4,2,V2,208
Others,Year_2560,0,4,2,V1,208
Others,Year_2560,18,4,2,V3,208
Telephony,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Telephony,Year_2560,2,4,2,V1,208
Telephony,Year_2560,2,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Telephony,Year_2560,4,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Software,Year_2560,15,4,2,V3,208
Hardware,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Others,Year_2560,5,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,5,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,5,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Internet,Year_2560,4,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,5,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,5,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,6,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Telephony,Year_2560,4,4,2,V1,208
Hardware,Year_2560,4,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Others,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,5,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,4,4,2,V1,208
Hardware,Year_2560,4,4,2,V1,208
Others,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,2,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,2,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,2,4,2,V1,208
Software,Year_2560,2,4,2,V1,208
Software,Year_2560,2,4,2,V1,208
Software,Year_2560,2,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Hardware,Year_2560,10,4,2,V2,208
Internet,Year_2560,0,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,5,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Others,Year_2560,2,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Internet,Year_2560,3,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Software,Year_2560,55,4,2,V5,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,10,4,2,V2,208
Hardware,Year_2560,0,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Internet,Year_2560,3,4,2,V1,208
Internet,Year_2560,10,4,2,V2,208
Hardware,Year_2560,3,4,2,V1,208
Software,Year_2560,11,4,2,V2,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Others,Year_2560,7,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Software,Year_2560,12,4,2,V2,208
Telephony,Year_2560,1,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Internet,Year_2560,21,4,2,V3,208
Hardware,Year_2560,1,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Internet,Year_2560,6,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,7,4,2,V1,208
Hardware,Year_2560,7,4,2,V1,208
Hardware,Year_2560,7,4,2,V1,208
Hardware,Year_2560,7,4,2,V1,208
Hardware,Year_2560,7,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,2,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Others,Year_2560,1,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Software,Year_2560,2,4,2,V1,208
Software,Year_2560,2,4,2,V1,208
Software,Year_2560,3,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,11,4,2,V2,208
Hardware,Year_2560,1,4,2,V1,208
Telephony,Year_2560,3,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,74,4,2,V5,208
Others,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,4,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Others,Year_2560,0,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Hardware,Year_2560,8,4,2,V2,208
Others,Year_2560,1,4,2,V1,208
Hardware,Year_2560,19,4,2,V3,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,2,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Telephony,Year_2560,2,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Internet,Year_2560,11,4,2,V2,208
Telephony,Year_2560,0,4,2,V1,208
Software,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,4,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,11,4,2,V2,208
Internet,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Hardware,Year_2560,3,4,2,V1,208
Software,Year_2560,3,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Internet,Year_2560,7,4,2,V1,208
Hardware,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Telephony,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,0,4,2,V1,208
Telephony,Year_2560,0,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Software,Year_2560,1,4,2,V1,208
Internet,Year_2560,21,4,2,V3,208
Internet,Year_2560,0,4,2,V1,208
Internet,Year_2560,1,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Hardware,Year_2560,6,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,1,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
Hardware,Year_2560,2,4,2,V1,208
